,Rank,Geographic Area,City,State,June2020,2020,2021,2022,long,lat
602,603,"Burnsville city, Minnesota",Burnsville,Minnesota,64324,64512,64029,63936,-93.2773887,44.7670567
603,604,"Laguna Niguel city, California",Laguna Niguel,California,64347,64226,64140,63742,-117.7075526,33.5225261
604,605,"South San Francisco city, California",South San Francisco,California,66097,66124,64361,63484,-122.4168664,37.6535403
605,606,"San Clemente city, California",San Clemente,California,64282,64257,63842,63457,-117.6124179,33.4270275
606,607,"Moore city, Oklahoma",Moore,Oklahoma,62806,63047,63070,63223,-97.4867045,35.3383254
607,608,"Sanford city, Florida",Sanford,Florida,61082,61096,61090,63154,-81.2680223,28.8117345
608,609,"Huntersville town, North Carolina",Huntersville,North Carolina,61376,61572,61909,63035,-80.8429304,35.4108278
609,610,"Millcreek city, Utah",Millcreek,Utah,63890,63668,64228,63034,-111.855583,40.6992918
610,611,"Bellevue city, Nebraska",Bellevue,Nebraska,64215,64322,63885,63015,-95.9124686,41.1434547
611,612,"Porterville city, California",Porterville,California,62629,62666,62788,62998,-119.0167679,36.06523
612,613,"Hamilton city, Ohio",Hamilton,Ohio,63386,63404,63088,62937,-84.5613428,39.3995067
613,614,"Hendersonville city, Tennessee",Hendersonville,Tennessee,61792,62114,62392,62896,-86.621443,36.3049177
614,615,"Richland city, Washington",Richland,Washington,60568,60878,62115,62821,-119.275205,46.2804298
615,616,"Coon Rapids city, Minnesota",Coon Rapids,Minnesota,63624,63581,63472,62785,-93.3023898,45.1728923
616,617,"Bossier City city, Louisiana",Bossier City,Louisiana,62719,62703,62960,62635,-93.6952689,32.5369356
617,618,"Marietta city, Georgia",Marietta,Georgia,61052,61026,61386,62602,-84.5496148,33.9528472
618,619,"Lakewood city, Washington",Lakewood,Washington,63609,63612,63429,62572,-122.518458,47.1717649
619,620,"Eden Prairie city, Minnesota",Eden Prairie,Minnesota,64198,64172,63105,62476,-93.470786,44.8546856
620,621,"Council Bluffs city, Iowa",Council Bluffs,Iowa,62792,62789,62592,62405,-95.8519484,41.258841
621,622,"Taylor city, Michigan",Taylor,Michigan,63392,63223,62709,62258,-83.2696509,42.240872
622,623,"Chapel Hill town, North Carolina",Chapel Hill,North Carolina,61965,56624,61295,62098,-79.05578,35.9131542
623,624,"Dearborn Heights city, Michigan",Dearborn Heights,Michigan,63291,63116,62584,61980,-83.2732627,42.3369816
624,625,"La Habra city, California",La Habra,California,63118,63096,62599,61978,-117.9454867,33.9316066
625,626,"Pontiac city, Michigan",Pontiac,Michigan,61601,61821,62086,61854,-83.2910468,42.6389216
626,627,"Santa Cruz city, California",Santa Cruz,California,62968,62885,54941,61800,-122.0294673,36.9743626
627,628,"Woodland city, California",Woodland,California,61047,61051,61538,61462,-121.7733285,38.6786109
628,629,"Wellington village, Florida",Wellington,Florida,61620,61575,61349,61438,-80.2414357,26.6586779
629,630,"Springfield city, Oregon",Springfield,Oregon,61843,61834,61866,61400,-123.0220289,44.0462362
630,631,"Encinitas city, California",Encinitas,California,62002,61988,61768,61369,-117.2919818,33.0369867
631,632,"Bristol city, Connecticut",Bristol,Connecticut,60845,60776,61138,61330,-72.9464859,41.6735209
632,633,"Parker town, Colorado",Parker,Colorado,58526,58878,60488,61222,-104.7612638,39.5184514
633,634,"Jupiter town, Florida",Jupiter,Florida,61036,61115,61065,61126,-80.0942087,26.9342246
634,635,"Stonecrest city, Georgia",Stonecrest,Georgia,59190,59265,59998,61087,-84.1358505,33.6831296
635,636,"Corvallis city, Oregon",Corvallis,Oregon,59909,59934,60263,60956,-123.2620435,44.5645659
636,637,"Wylie city, Texas",Wylie,Texas,57530,57888,59461,60943,-96.5388038,33.0151561
637,638,"Montebello city, California",Montebello,California,62623,62410,61125,60569,-118.111975,34.0159398
638,639,"Vineland city, New Jersey",Vineland,New Jersey,60780,60631,60563,60491,-75.0254256,39.4862777
639,640,"Great Falls city, Montana",Great Falls,Montana,60464,60431,60347,60382,-111.29189,47.5048851
640,641,"La Mesa city, California",La Mesa,California,61119,61070,60733,60360,-117.0230839,32.7678288
641,642,"Meriden city, Connecticut",Meriden,Connecticut,60830,60619,60437,60242,-72.8070435,41.5381535
642,643,"Palm Beach Gardens city, Florida",Palm Beach Gardens,Florida,59174,59237,59529,60175,-80.1386547,26.8233946
643,644,"Euless city, Texas",Euless,Texas,61028,61073,60521,60169,-97.0667142473263,32.8457865
644,645,"Owensboro city, Kentucky",Owensboro,Kentucky,60206,60238,60035,60037,-87.1133304,37.7742152
645,646,"Casa Grande city, Arizona",Casa Grande,Arizona,53660,54119,57400,60032,-111.757352,32.8795022
646,647,"San Rafael city, California",San Rafael,California,61277,61130,60814,59971,-122.5310874,37.9735346
647,648,"Taunton city, Massachusetts",Taunton,Massachusetts,59400,59470,59701,59922,-71.0931485,41.9019257
648,649,"Madison city, Alabama",Madison,Alabama,56965,57294,58328,59785,-86.7511427,34.6928726
649,650,"Pico Rivera city, California",Pico Rivera,California,62079,61890,60696,59781,-118.096735,33.9830688
650,651,"Shoreline city, Washington",Shoreline,Washington,58601,58805,58081,59690,-122.3437497,47.7564667
651,652,"Kokomo city, Indiana",Kokomo,Indiana,59603,59573,59657,59671,-86.1336351,40.4864444
652,653,"Blue Springs city, Missouri",Blue Springs,Missouri,58613,58770,59460,59518,-94.282265,39.017316
653,654,"White Plains city, New York",White Plains,New York,59553,59441,59551,59316,-73.7629097,41.0339862
654,655,"Burlington city, North Carolina",Burlington,North Carolina,57306,57589,58756,59287,-79.4377991,36.0956918
655,656,"Herriman city, Utah",Herriman,Utah,55178,56210,58155,59179,-112.0329086,40.5139784
656,657,"Youngstown city, Ohio",Youngstown,Ohio,60056,59896,59175,59144,-80.6520161,41.1035786
657,658,"Santee city, California",Santee,California,60047,59952,59296,59051,-116.9739167,32.8383828
658,659,"West Allis city, Wisconsin",West Allis,Wisconsin,60334,60252,59496,58950,-88.0070315,43.0166806
659,660,"Lake Havasu City city, Arizona",Lake Havasu City,Arizona,57134,57369,58181,58926,-114.322449,34.4838502
660,661,"North Miami city, Florida",North Miami,Florida,60195,59839,59063,58906,-94.8796767,36.9172916
661,662,"Dubuque city, Iowa",Dubuque,Iowa,59669,59642,59251,58873,-90.6647985,42.5006243
662,663,"Gardena city, California",Gardena,California,61022,60875,59721,58843,-118.3053037,33.8963593
663,664,"Grand Forks city, North Dakota",Grand Forks,North Dakota,59170,59140,58676,58692,-97.0592028,47.9078244
664,665,"Petaluma city, California",Petaluma,California,59778,59776,59589,58652,-122.60612241304348,38.270022
665,666,"Lenexa city, Kansas",Lenexa,Kansas,57417,57547,58530,58617,-94.7845837,38.9697458
666,667,"Des Plaines city, Illinois",Des Plaines,Illinois,60673,60482,59495,58594,-87.8873916,42.0415823
667,668,"Monterey Park city, California",Monterey Park,California,61109,60891,59586,58554,-118.129807,34.051522
668,669,"Lacey city, Washington",Lacey,Washington,56185,56619,57167,58552,-122.8072257,47.0263876
669,670,"Casper city, Wyoming",Casper,Wyoming,59090,59299,58763,58543,-106.325138,42.8501191
670,671,"Revere city, Massachusetts",Revere,Massachusetts,62204,61867,59517,58528,-71.0119948,42.4084302
671,672,"St. Peters city, Missouri",St. Peters,Missouri,57731,57703,58215,58523,-90.5958468,38.791612
672,673,"Hanford city, California",Hanford,California,58013,58098,58468,58470,-119.63351305957447,36.338612499999996
673,674,"Terre Haute city, Indiana",Terre Haute,Indiana,58412,58387,58346,58335,-87.4139119,39.4667025
674,675,"Hempstead village, New York",Hempstead,New York,59170,58855,58691,58331,-73.6190736,40.6736812
675,676,"Margate city, Florida",Margate,Florida,58700,58599,58127,58209,-80.206436,26.2445263
676,677,"Carson City, Nevada",Carson City,Nevada,58644,58683,58796,58130,-119.7575628,39.1698022
677,678,"Springfield city, Ohio",Springfield,Ohio,58651,58590,58533,58106,-83.810138,39.9234046
678,679,"Gilroy city, California",Gilroy,California,59532,59383,58115,58005,-121.5631723,37.0065078
679,680,"Midwest City city, Oklahoma",Midwest City,Oklahoma,58406,58461,58146,57950,-97.3967025,35.4495097
680,681,"Brookhaven city, Georgia",Brookhaven,Georgia,56795,56807,57074,57934,-84.340203,33.8584368
681,682,"Decatur city, Alabama",Decatur,Alabama,57946,57757,57605,57922,-87.05791872812708,34.6240205
682,683,"Taylorsville city, Utah",Taylorsville,Utah,60435,60367,59251,57879,-111.9388027,40.6676347
683,684,"Bentonville city, Arkansas",Bentonville,Arkansas,54210,54808,56936,57868,-94.2088172,36.3728538
684,685,"Cupertino city, California",Cupertino,California,60363,60157,58578,57856,-122.0322895,37.3228934
685,686,"St. Clair Shores city, Michigan",St. Clair Shores,Michigan,58874,58725,58247,57742,-82.8890965,42.4969652
686,687,"Pocatello city, Idaho",Pocatello,Idaho,56326,56433,57242,57730,-112.450627,42.8620287
687,688,"Hoboken city, New Jersey",Hoboken,New Jersey,60057,59912,58165,57703,-74.0323752,40.7433066
688,689,"Orland Park village, Illinois",Orland Park,Illinois,58730,58567,57982,57511,-87.8536288,41.630663
689,690,"Royal Oak city, Michigan",Royal Oak,Michigan,58202,58023,57826,57495,-83.1446485,42.4894801
690,691,"Kyle city, Texas",Kyle,Texas,45697,46442,51838,57470,-97.877174,29.9892816
691,692,"Lancaster city, Pennsylvania",Lancaster,Pennsylvania,58051,57937,57646,57453,-76.3056686,40.03813
692,693,"Weymouth Town city, Massachusetts",Weymouth Town,Massachusetts,57443,57461,57655,57410,-70.944418,42.20542
693,694,"Sarasota city, Florida",Sarasota,Florida,54840,55182,56160,57376,-82.5308545,27.3365805
694,695,"Coconut Creek city, Florida",Coconut Creek,Florida,57828,57722,57248,57348,-80.1789351,26.2517482
695,696,"Bowie city, Maryland",Bowie,Maryland,58335,58234,57724,57192,-76.7301718,38.9424464
696,697,"Kettering city, Ohio",Kettering,Ohio,57868,57823,57557,57027,-84.1688274,39.6895036
697,698,"Apopka city, Florida",Apopka,Florida,54889,54903,55616,57017,-81.511398,28.678013
698,699,"Bradenton city, Florida",Bradenton,Florida,55713,55812,56309,56961,-82.5748194,27.4989278
699,700,"Albany city, Oregon",Albany,Oregon,56464,56670,56932,56891,-123.1059324,44.6365071
700,701,"Bartlett city, Tennessee",Bartlett,Tennessee,57789,57759,57395,56798,-89.8739753,35.2045329
701,702,"Coeur d'Alene city, Idaho",Coeur d'Alene,Idaho,54640,54938,56145,56733,-116.7811531,47.6742994
702,703,"Highland city, California",Highland,California,56996,57034,57115,56705,-117.1807973,34.11213
703,704,"Smyrna town, Tennessee",Smyrna,Tennessee,53089,53489,55525,56516,-86.5199492,35.9824598
704,705,"Bonita Springs city, Florida",Bonita Springs,Florida,53638,53852,54852,56370,-81.7786972,26.339806
705,706,"Southaven city, Mississippi",Southaven,Mississippi,54647,54841,55565,56360,-90.0034862,34.9873822
706,707,"Beaumont city, California",Beaumont,California,53045,53523,55271,56349,-116.9763092,33.9299925
707,708,"Oak Lawn village, Illinois",Oak Lawn,Illinois,58370,58169,57158,56286,-87.7581081,41.7108662
708,709,"Smyrna city, Georgia",Smyrna,Georgia,55905,55867,56009,56160,-84.5147454,33.883887
709,710,"Kingsport city, Tennessee",Kingsport,Tennessee,55441,55413,55603,56150,-82.5594293,36.550238
710,711,"Bozeman city, Montana",Bozeman,Montana,53317,53611,55146,56123,-111.044047,45.6794293
711,712,"New Brunswick city, New Jersey",New Brunswick,New Jersey,55252,55289,56299,55998,-74.4518173,40.4862174
712,713,"DeSoto city, Texas",DeSoto,Texas,56135,56078,55760,55968,-96.8570183,32.5897831
713,714,"Marana town, Arizona",Marana,Arizona,51897,52612,54672,55962,-111.215709,32.4446988
714,715,"Fountain Valley city, California",Fountain Valley,California,57054,56967,56440,55930,-117.9627349,33.7038145
715,716,"Spring Hill city, Tennessee",Spring Hill,Tennessee,50689,51299,54122,55800,-86.9300023,35.751179
716,717,"Tigard city, Oregon",Tigard,Oregon,54816,55015,55896,55762,-122.771933,45.4307473
717,718,"Olympia city, Washington",Olympia,Washington,55371,55607,55950,55669,-122.8950075,47.0451022
718,719,"Texas City city, Texas",Texas City,Texas,51895,52271,54283,55667,-94.9175485,29.396013
719,720,"Port Arthur city, Texas",Port Arthur,Texas,56030,56000,56137,55579,-93.9288723,29.8988618
720,721,"National City city, California",National City,California,56172,56115,55927,55550,-117.0991967,32.6781085
721,722,"San Jacinto city, California",San Jacinto,California,53894,54064,55287,55470,-116.9589086,33.7839664
722,723,"Kannapolis city, North Carolina",Kannapolis,North Carolina,53119,53442,54499,55448,-80.621438,35.4874708
723,724,"Apple Valley city, Minnesota",Apple Valley,Minnesota,56367,56267,55860,55416,-93.21772,44.7319094
724,725,"Perth Amboy city, New Jersey",Perth Amboy,New Jersey,55444,55382,55462,55357,-74.2745215,40.5200187
725,725,"Little Elm city, Texas",Little Elm,Texas,46459,47194,51238,55357,-96.9375051,33.1626194
726,727,"Anderson city, Indiana",Anderson,Indiana,54773,54749,54922,55099,-85.6802541,40.1053196
727,728,"Valdosta city, Georgia",Valdosta,Georgia,55387,55415,55168,55074,-83.2784851,30.8327022
728,729,"West Sacramento city, California",West Sacramento,California,53919,53914,53983,55064,-121.530234,38.5804609
729,730,"Winter Haven city, Florida",Winter Haven,Florida,50203,50595,52711,55024,-81.7328568,28.0222435
730,731,"Berwyn city, Illinois",Berwyn,Illinois,57234,57012,55935,55021,-87.7936685,41.8505874
731,732,"West Haven city, Connecticut",West Haven,Connecticut,55581,55432,55176,55004,-72.9470471,41.2706527
732,733,"Chicopee city, Massachusetts",Chicopee,Massachusetts,55562,55443,55228,54980,-72.6071119,42.1487691
733,734,"Arcadia city, California",Arcadia,California,56664,56466,55334,54857,-118.0401497,34.1362075
734,735,"Mount Prospect village, Illinois",Mount Prospect,Illinois,56852,56711,55691,54843,-87.9372908,42.0664167
735,736,"Logan city, Utah",Logan,Utah,52783,52808,54434,54680,-111.834914,41.7313063
736,737,"Westfield city, Indiana",Westfield,Indiana,46425,46998,50702,54605,-86.1274888,40.0428151
737,738,"Plainfield city, New Jersey",Plainfield,New Jersey,54598,54344,55006,54513,-74.4073737,40.6337136
738,739,"Yucaipa city, California",Yucaipa,California,54552,54586,54713,54420,-117.0430865,34.033625
739,740,"Twin Falls city, Idaho",Twin Falls,Idaho,51811,52079,53497,54300,-114.4602554,42.5704456
740,741,"Tinley Park village, Illinois",Tinley Park,Illinois,56001,55837,54991,54287,-87.7844944,41.5733669
741,742,"Eagle Mountain city, Utah",Eagle Mountain,Utah,43614,44609,49657,54149,-112.0119825,40.3093488
742,743,"Kentwood city, Michigan",Kentwood,Michigan,54309,54274,54197,54077,-85.6447492,42.8694731
743,744,"Rocky Mount city, North Carolina",Rocky Mount,North Carolina,54334,54312,53941,54013,-77.7956949,35.9423833
744,745,"Colton city, California",Colton,California,53892,53970,54272,53918,-117.3136547,34.0739016
745,746,"Peabody city, Massachusetts",Peabody,Massachusetts,54492,54388,54140,53896,-70.9286609,42.5278731
746,747,"Pensacola city, Florida",Pensacola,Florida,54310,54468,53963,53876,-87.2169149,30.421309
747,748,"Manhattan city, Kansas",Manhattan,Kansas,54103,54144,54406,53829,-96.5716694,39.1836082
748,749,"Elkhart city, Indiana",Elkhart,Indiana,53913,53857,53871,53801,-85.9766671,41.6819935
749,750,"Pinellas Park city, Florida",Pinellas Park,Florida,53094,53372,53304,53653,-82.6995444,27.8428025
750,751,"Burleson city, Texas",Burleson,Texas,47633,47991,51493,53381,-97.3208492,32.5420821
751,752,"Methuen Town city, Massachusetts",Methuen Town,Massachusetts,53037,52985,52882,53241,-71.158709,42.750523
752,753,"Galveston city, Texas",Galveston,Texas,53699,53651,53348,53089,-94.7945882,29.299328
753,754,"Wheaton city, Illinois",Wheaton,Illinois,53920,53800,53412,52984,-88.1101709,41.8646959
754,755,"Elyria city, Ohio",Elyria,Ohio,52664,52676,52778,52908,-82.1073583,41.3673191
755,756,"Diamond Bar city, California",Diamond Bar,California,55070,54896,53763,52855,-117.8103367,34.0286226
756,757,"Normal town, Illinois",Normal ,Illinois,52746,52749,52821,52838,-88.9843937,40.5092961
757,758,"Mooresville town, North Carolina",Mooresville,North Carolina,50240,50502,51695,52656,-80.8100724,35.5848596
758,759,"Huntington Park city, California",Huntington Park,California,54883,54712,53584,52633,-118.2120343,33.9827043
759,760,"Oak Park village, Illinois",Oak Park,Illinois,54580,54396,53360,52553,-87.7887615,41.8878145
760,761,"Minnetonka city, Minnesota",Minnetonka,Minnesota,53794,54083,53200,52544,-93.4638936,44.9405086
761,762,"Lincoln city, California",Lincoln,California,49747,49817,50658,52534,-121.34239205792437,38.859829500000004
762,763,"Joplin city, Missouri",Joplin,Missouri,51765,51800,51957,52518,-94.5133385,37.0841838
763,764,"Grand Island city, Nebraska",Grand Island,Nebraska,53130,53017,52473,52513,-98.338685,40.924271
764,765,"Cathedral City city, California",Cathedral City,California,51498,51569,52230,52494,-116.464076,33.7810031
765,766,"Edina city, Minnesota",Edina,Minnesota,53487,53367,53339,52437,-93.3501222,44.8897027
766,767,"Dunwoody city, Georgia",Dunwoody,Georgia,51667,51614,51025,52201,-84.3342686,33.9463786
767,768,"Novato city, California",Novato,California,53206,53100,52904,52184,-122.5681191,38.1061979
768,769,"Battle Creek city, Michigan",Battle Creek,Michigan,52709,52651,52462,52123,-85.1824269,42.3192548
769,770,"West New York town, New Jersey",West New York,New Jersey,52906,52544,52431,51981,-74.0093129,40.7856117
770,771,"Placentia city, California",Placentia,California,51814,51723,51236,51951,-117.8617337,33.8714814
771,772,"Paramount city, California",Paramount,California,53748,53578,52485,51653,-118.171005,33.898917
772,773,"Summerville town, South Carolina",Summerville,South Carolina,50973,51084,51337,51617,-80.1762704,33.0186699
773,774,"Collierville town, Tennessee",Collierville,Tennessee,51321,51411,51529,51594,-89.6645266,35.042036
774,775,"Palm Desert city, California",Palm Desert,California,51167,51200,51591,51583,-116.382571,33.7288179
775,776,"Watsonville city, California",Watsonville,California,52595,52506,52017,51525,-121.7529071,36.9092773
776,777,"Florissant city, Missouri",Florissant,Missouri,52532,52441,52041,51506,-90.3227803,38.7919683
777,778,"Rockwall city, Texas",Rockwall,Texas,47307,47734,49753,51461,-96.4597089,32.9312336
778,779,"La Crosse city, Wisconsin",La Crosse,Wisconsin,52682,52665,51002,51380,-91.2514355,43.8122836
779,780,"Columbus city, Indiana",Columbus,Indiana,50498,50496,50792,51268,-85.9213796,39.2014405
780,781,"Middletown city, Ohio",Middletown,Ohio,50998,51031,51080,51229,-84.3982763,39.5150576
781,782,"Grapevine city, Texas",Grapevine,Texas,50636,50765,50911,51226,-97.0788754,32.9337381
782,783,"Aliso Viejo city, California",Aliso Viejo,California,52173,52205,51901,51221,-117.7258122,33.5761376
783,784,"Harrisonburg city, Virginia",Harrisonburg,Virginia,51810,51706,51526,51158,-78.8688833,38.4493315
784,785,"Wake Forest town, North Carolina",Wake Forest,North Carolina,47855,48249,49899,51113,-78.5103731,35.9803138
785,786,"Jeffersonville city, Indiana",Jeffersonville,Indiana,49450,49563,50397,51030,-85.7371604,38.2770227
786,787,"Mishawaka city, Indiana",Mishawaka,Indiana,51095,51044,50994,50913,-86.1807031,41.6611642
787,788,"Troy city, New York",Troy,New York,51414,51337,51216,50895,-73.6917878,42.7284117
788,789,"Delano city, California",Delano,California,51420,49852,50668,50843,-119.2470536,35.7688425
789,790,"Glendora city, California",Glendora,California,52577,52497,51592,50824,-117.865339,34.1361187
790,791,"Burien city, Washington",Burien,Washington,52065,51985,51201,50806,-122.3485274,47.469918
791,792,"Newark city, Ohio",Newark,Ohio,49936,50003,50324,50763,-82.4012643,40.0581205
792,793,"Draper city, Utah",Draper,Utah,51024,51024,51381,50731,-111.8627989,40.5247777
793,794,"Hoffman Estates village, Illinois",Hoffman Estates,Illinois,52545,52402,51478,50682,-88.0792782,42.0427256
794,795,"Cuyahoga Falls city, Ohio",Cuyahoga Falls,Ohio,51120,51050,50863,50655,-81.4848086,41.1348213
795,796,"Enid city, Oklahoma",Enid,Oklahoma,51294,51169,50546,50499,-97.8791341,36.3967623
796,797,"Milford city (balance), Connecticut",Milford,Connecticut,50567,50467,50486,50471,-73.0570603,41.2222218
797,798,"Harrisburg city, Pennsylvania",Harrisburg,Pennsylvania,50088,50092,50236,50183,-76.8861122,40.2663107
798,799,"Rosemead city, California",Rosemead,California,51187,51082,50221,49791,-118.0879763,34.0676169
799,800,"Lakewood city, Ohio",Lakewood,Ohio,50929,50809,50250,49658,-81.7981908,41.4819932
800,801,"Covina city, California",Covina,California,51275,51173,50370,49489,-117.8891164,34.0877926
801,802,"Murray city, Utah",Murray,Utah,50641,50520,49734,49463,-111.888417,40.6667841
802,803,"Downers Grove village, Illinois",Downers Grove,Illinois,50225,50126,49742,49354,-88.0102281,41.7936822
803,804,"Cypress city, California",Cypress,California,50144,50171,49858,49243,-118.0399368,33.8248235
804,805,"St. Louis Park city, Minnesota",St. Louis Park,Minnesota,50005,50021,49244,48827,-93.3569023,44.9475726
805,806,"Azusa city, California",Azusa,California,50265,50154,49289,48824,-117.9056046,34.1338751
